ReleaseYear,NumApps
"April 22, 2013",1
"May 8, 2015",1
"January 20, 2017",1
"September 1, 2016",1
"July 23, 2015",1
"January 11, 2016",1
"November 14, 2014",1
"April 16, 2017",1
"October 4, 2017",1
"May 13, 2017",1
"April 10, 2013",1
"February 21, 2014",1
"June 22, 2017",1
"November 23, 2016",1
"April 26, 2015",1
"September 22, 2011",1
"November 25, 2017",1
"January 3, 2017",1
"July 15, 2015",1
"February 20, 2016",1
"May 14, 2015",1
"March 27, 2017",1
"June 25, 2015",1
"April 20, 2017",1
"November 11, 2012",1
"June 3, 2014",1
"June 11, 2017",1
"June 4, 2015",1
"October 2, 2016",1
"February 16, 2014",1
"March 4, 2017",1
"November 12, 2013",1
"November 1, 2013",1
"June 6, 2015",1
"July 20, 2012",1
"October 10, 2014",1
"April 27, 2016",1
"January 17, 2017",1
"May 9, 2016",1
"December 13, 2014",1
"October 1, 2015",1
